label,c,K,beta,alpha,selected_method,count,stability,outside_sign,edge_sign,edge_kind,edge_radius,sign_comparison,uncertain_sign_changes,baseline_origin_count,rational_vector
positive_infinity_011_pair,1423820265526596494121227147879457879241/1000000000000000000000000000000000000000,4,0,-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651,double_full_return,2,SU,1,1,integration_failure,648.9885273119712,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651"", ""0"", ""-10"", ""11/5"", ""1423820265526596494121227147879457879241/1000000000000000000000000000000000000000""]"
positive_infinity_011_hopf_1,1423820265526596494121227147879457879241/1000000000000000000000000000000000000000,4,-18497202910521193/10000000000000000000,-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651,double_full_return,3,USU,1,1,integration_failure,1189.4253685846202,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651"", ""-18497202910521193/10000000000000000000"", ""-10"", ""11/5"", ""1423820265526596494121227147879457879241/1000000000000000000000000000000000000000""]"
positive_infinity_011_hopf_0.1,1423820265526596494121227147879457879241/1000000000000000000000000000000000000000,4,-9248601455260597/50000000000000000000,-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651,double_full_return,3,USU,1,1,integration_failure,681.6302154335683,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-230000000000000000000000000000000000000000/10662022920792561435333498626674036671651"", ""-9248601455260597/50000000000000000000"", ""-10"", ""11/5"", ""1423820265526596494121227147879457879241/1000000000000000000000000000000000000000""]"
negative_008_fold,766117881429305028228267569608327861/1000000000000000000000000000000000000,-2,0,-200000000000000000000000000000000000000/3427296695722355310510943265691606471,double_full_return,0,,,-1,scan_cap,2.353852668369765e+17,unresolved,0,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-200000000000000000000000000000000000000/3427296695722355310510943265691606471"", ""0"", ""-10"", ""11/5"", ""766117881429305028228267569608327861/1000000000000000000000000000000000000""]"
negative_008_pair,955773629411245247067511145526370633141/1250000000000000000000000000000000000000,-2,0,-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551"", ""0"", ""-10"", ""11/5"", ""955773629411245247067511145526370633141/1250000000000000000000000000000000000000""]"
negative_008_hopf_1,955773629411245247067511145526370633141/1250000000000000000000000000000000000000,-2,10620395022137351/50000000000000000000,-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551"", ""10620395022137351/50000000000000000000"", ""-10"", ""11/5"", ""955773629411245247067511145526370633141/1250000000000000000000000000000000000000""]"
positive_infinity_012_fold,148478441125669843170818414991338347/100000000000000000000000000000000000,5,0,-23500000000000000000000000000000000000/1133262852382368274879002564904721817,double_full_return,0,,,1,integration_failure,1585.8053368787535,unresolved,2,0,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-23500000000000000000000000000000000000/1133262852382368274879002564904721817"", ""0"", ""-10"", ""11/5"", ""148478441125669843170818414991338347/100000000000000000000000000000000000""]"
positive_infinity_012_pair,1484879391383461334190428494203919108187/1000000000000000000000000000000000000000,5,0,-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057,double_full_return,2,SU,1,1,integration_failure,1616.6088593159038,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057"", ""0"", ""-10"", ""11/5"", ""1484879391383461334190428494203919108187/1000000000000000000000000000000000000000""]"
positive_infinity_012_hopf_1,1484879391383461334190428494203919108187/1000000000000000000000000000000000000000,5,-5692179902423367/2500000000000000000,-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057,double_full_return,2,US,-1,-1,scan_cap,2.353852668369765e+17,agree,0,2,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-235000000000000000000000000000000000000000/11333673305218074676094713436243110190057"", ""-5692179902423367/2500000000000000000"", ""-10"", ""11/5"", ""1484879391383461334190428494203919108187/1000000000000000000000000000000000000000""]"
negative_008_hopf_0.1,955773629411245247067511145526370633141/1250000000000000000000000000000000000000,-2,4248158008854941/200000000000000000000,-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551,double_full_return,3,SUS,-1,-1,scan_cap,2.353852668369765e+17,agree,0,3,"[""0"", ""0"", ""1"", ""1"", ""1"", ""0"", ""0"", ""-250000000000000000000000000000000000000000/4263509923523697717742622600790076964551"", ""4248158008854941/200000000000000000000"", ""-10"", ""11/5"", ""955773629411245247067511145526370633141/1250000000000000000000000000000000000000""]"
