=== row5  a=-4 a20=-1 side=1
  n=90   x0=2.7573736319463        a11=5.4094993703435        Dxxx=0.0004288045949        ds=0.150000   194s
  n=100  x0=2.8645988607934        a11=5.5573719302127        Dxxx=0.0004486874363        ds=0.150000   217s
  n=110  x0=2.9643504971395        a11=5.7012125974136        Dxxx=0.0004640356754        ds=0.150000   239s
  n=120  x0=3.0576172223839        a11=5.8413255484896        Dxxx=0.0004757045847        ds=0.150000   261s
  -> npts=120 end=3.057617222383860673251443109883647 reason=MAXPTS Dxxx_sign_changes=0  (265s)
=== c_a0p2_om0p08  a=0.2 a20=-2.063673469387755102040816326530612 side=1
  n=10   x0=1.2081484424033        a11=3.6125213784987        Dxxx=-6.498268236e-6        ds=0.150000   25s
  *** D_xxx SIGN CHANGE between x0=1.54377707785 and 1.58148221593 : -1.01147e-5 -> 7.13869e-7
  n=20   x0=1.6531089919496        a11=3.6868856569522        Dxxx=3.163889839e-5         ds=0.150000   48s
  n=30   x0=1.9622454921364        a11=3.7566644677767        Dxxx=0.0003311866230        ds=0.150000   69s
  n=40   x0=2.2230939850093        a11=3.8216213512482        Dxxx=0.0007594945418        ds=0.150000   90s
  n=50   x0=2.4548587062561        a11=3.8824725970888        Dxxx=0.001215294654         ds=0.150000   111s
  n=60   x0=2.6660820496539        a11=3.9398320189135        Dxxx=0.001651249243         ds=0.150000   133s
  n=70   x0=2.8615948799022        a11=3.9941882077659        Dxxx=0.002048672564         ds=0.150000   150s
  n=80   x0=3.0444998276878        a11=4.0459303341261        Dxxx=0.002402400179         ds=0.150000   167s
  n=90   x0=3.2169534842560        a11=4.0953722964769        Dxxx=0.002713314570         ds=0.150000   186s
  n=100  x0=3.3805379159379        a11=4.1427709139424        Dxxx=0.002984782478         ds=0.150000   205s
  n=110  x0=3.5364601167440        a11=4.1883391724596        Dxxx=0.003220980132         ds=0.150000   223s
  n=120  x0=3.6856688265712        a11=4.2322558913143        Dxxx=0.003426125258         ds=0.150000   243s
  -> npts=120 end=3.685668826571192974736652597229684 reason=MAXPTS Dxxx_sign_changes=1  (247s)
=== c_a0p4_om1p0  a=0.4 a20=-3.949794238683127572016460905349794 side=1
  n=10   x0=1.1570460064015        a11=3.1969425311424        Dxxx=-4.849127126e-6        ds=0.150000   21s
  n=20   x0=1.4577465054824        a11=3.1804925515614        Dxxx=-0.0001109656653       ds=0.150000   35s
  n=30   x0=1.6729082623977        a11=3.1645298912196        Dxxx=-0.0002590900816       ds=0.150000   50s
  n=40   x0=1.8623540171859        a11=3.1491450900788        Dxxx=-0.0004051948026       ds=0.150000   64s
  n=50   x0=2.0381789152050        a11=3.1343117286971        Dxxx=-0.0005363661778       ds=0.150000   79s
  n=60   x0=2.2053156736900        a11=3.1199950076351        Dxxx=-0.0006492789903       ds=0.150000   94s
  n=70   x0=2.3663315026517        a11=3.1061608027427        Dxxx=-0.0007441562998       ds=0.150000   109s
  n=80   x0=2.5227552942255        a11=3.0927774197518        Dxxx=-0.0008225400861       ds=0.150000   123s
  n=90   x0=2.6755805988745        a11=3.0798158760768        Dxxx=-0.0008863757120       ds=0.150000   139s
  n=100  x0=2.8254941249094        a11=3.0672497872579        Dxxx=-0.0009376231877       ds=0.150000   155s
  n=110  x0=2.9729928782636        a11=3.0550551441631        Dxxx=-0.0009780975750       ds=0.150000   172s
  n=120  x0=3.1184496892035        a11=3.0432100716187        Dxxx=-0.001009413180        ds=0.150000   189s
  -> npts=120 end=3.118449689203540445155506352216095 reason=MAXPTS Dxxx_sign_changes=0  (191s)
=== c_a0p4_o0p3  a=0.4 a20=-2.649794238683127572016460905349794 side=1
  n=10   x0=1.2235226199609        a11=3.1924805739682        Dxxx=0.0008206001623        ds=0.150000   22s
  n=20   x0=1.8283054136799        a11=3.1499590809501        Dxxx=0.002739033309         ds=0.150000   42s
  n=30   x0=2.2885725914540        a11=3.1124454948339        Dxxx=0.001820604758         ds=0.150000   62s
  n=40   x0=2.6922715162596        a11=3.0793179252242        Dxxx=0.0009226509821        ds=0.150000   83s
  n=50   x0=3.0627520417537        a11=3.0496022118492        Dxxx=0.0002832532455        ds=0.150000   102s
  *** D_xxx SIGN CHANGE between x0=3.27377091438 and 3.30826295458 : 3.00834e-6 -> -3.75586e-5
  n=60   x0=3.4106876149712        a11=3.0225965841597        Dxxx=-0.0001500084289       ds=0.150000   123s
  n=70   x0=3.7420433157750        a11=2.9977986773784        Dxxx=-0.0004409347126       ds=0.150000   143s
  n=80   x0=4.0605578592937        a11=2.9748387620677        Dxxx=-0.0006356371049       ds=0.150000   162s
  n=90   x0=4.3687581551912        a11=2.9534367552100        Dxxx=-0.0007649332513       ds=0.150000   183s
  n=100  x0=4.6684464534380        a11=2.9333750164733        Dxxx=-0.0008492434359       ds=0.150000   203s
  n=110  x0=4.9609612034026        a11=2.9144807127148        Dxxx=-0.0009022331970       ds=0.150000   224s
  n=120  x0=5.2473283053704        a11=2.8966140308032        Dxxx=-0.0009331859985       ds=0.150000   245s
  -> npts=120 end=5.247328305370444461561440291598430 reason=MAXPTS Dxxx_sign_changes=1  (249s)
=== c_a0p5_o0p08  a=0.5 a20=-3.295 side=1
  n=10   x0=1.2116485229348        a11=2.9872213057804        Dxxx=5.714722521e-6         ds=0.150000   21s
  *** D_xxx SIGN CHANGE between x0=1.39049859498 and 1.44160470417 : 2.76968e-7 -> -1.16259e-5
  n=20   x0=1.7116016025376        a11=2.9126466959563        Dxxx=-0.0001841423477       ds=0.150000   40s
  n=30   x0=2.0995812992775        a11=2.8445109792393        Dxxx=-0.0006547070360       ds=0.150000   57s
  n=40   x0=2.4544827040688        a11=2.7827134294148        Dxxx=-0.001106321092        ds=0.150000   74s
  n=50   x0=2.7921443434825        a11=2.7262473418760        Dxxx=-0.001448737819        ds=0.150000   91s
  n=60   x0=3.1190875590848        a11=2.6742780205080        Dxxx=-0.001680668786        ds=0.150000   108s
  n=70   x0=3.4387528333723        a11=2.6261468505184        Dxxx=-0.001823387901        ds=0.150000   126s
  n=80   x0=3.7532150439192        a11=2.5813312027998        Dxxx=-0.001899648785        ds=0.150000   144s
  n=90   x0=4.0638353963650        a11=2.5394104978423        Dxxx=-0.001928265970        ds=0.150000   162s
  n=100  x0=4.3715600385279        a11=2.5000412824648        Dxxx=-0.001923532526        ds=0.150000   182s
  n=110  x0=4.6770748728138        a11=2.4629392563374        Dxxx=-0.001895928373        ds=0.150000   199s
  n=120  x0=4.9808932629789        a11=2.4278662080348        Dxxx=-0.001853012774        ds=0.150000   218s
  -> npts=120 end=4.980893262978892293319204805267268 reason=MAXPTS Dxxx_sign_changes=1  (221s)
=== c_a0p6_om0p08  a=0.6 a20=-3.967603305785123966942148760330579 side=1
  n=10   x0=1.2072725108503        a11=2.7821777920149        Dxxx=-8.128311276e-6        ds=0.150000   19s
  n=20   x0=1.6991767064263        a11=2.6794949796299        Dxxx=-0.0003755424485       ds=0.150000   37s
  n=30   x0=2.0909333186070        a11=2.5857331372445        Dxxx=-0.0009436645152       ds=0.150000   53s
  n=40   x0=2.4576202962367        a11=2.5008492796059        Dxxx=-0.001418115563        ds=0.150000   69s
